trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-49.72191369860573,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-203.6124382725511,"{0: 19, 1: 1, 2: 6, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,6,-119.99292027306159,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-151.96182807223386,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-128.4530551120678,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-80.84886032190363,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-40.10009965530656,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-46.32809223960124,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-261.55362754350784,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-20.982897064675285,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,3,-85.73612268813412,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-83.19819579635717,"{0: 27, 1: 1, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-10.75674951676616,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-131.40264754009357,"{0: 24, 1: 1, 2: 1, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-117.22662016063644,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,0,-75.86714142583324,"{0: 30, 1: 0, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-61.46546369939446,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,11.104220048049408,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,4,-21.2266669327018,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-65.13341781040604,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,7.224894899110245,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,4,30.601951817876312,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,-73.92050024680927,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",30,0,-125.736975323606,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 4}",0
5,True,"{'a': 0, 'e': 0}",30,0,39.94240611199768,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,20,8.557335322117929,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",35,0,-23.282693084558275,"{0: 32, 1: 0, 2: 2, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-81.36892238122584,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",30,0,-32.49447164428225,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,0,-30.033064665033475,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
