trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.9994188962656985}",25,12,-150.65711204667838,"{0: 5, 1: 2, 2: 3, 3: 0, 4: 3}",1
2,False,"{'a': 0.3, 'e': 0.9993891206405656}",20,0,-127.6448065021944,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.3, 'e': 0.9993578202994141}",20,0,-85.75423182078967,"{0: 8, 1: 5, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.3, 'e': 0.9993249172693672}",25,0,-77.80684868379826,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.3, 'e': 0.9992903296008995}",35,0,-143.5093040706029,"{0: 20, 1: 5, 2: 8, 3: 1, 4: 1}",0
6,False,"{'a': 0.3, 'e': 0.9992539711661633}",30,0,-114.00962293014898,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.3, 'e': 0.9992157514472091}",20,0,-73.02341067088831,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.3, 'e': 0.9991755753136017}",25,0,-87.6515855689409,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.3, 'e': 0.9991333427889207}",30,0,-42.91704835863809,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.3, 'e': 0.9990889488055994}",20,0,-90.68637103885413,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.3, 'e': 0.9990422829475397}",25,0,-105.30474753546349,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
12,False,"{'a': 0.3, 'e': 0.9989932291799144}",20,0,-105.538631812115,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
13,False,"{'a': 0.3, 'e': 0.9989416655655341}",20,0,-155.55103436840338,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
14,False,"{'a': 0.3, 'e': 0.9988874639671398}",25,0,-50.49492512589316,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.3, 'e': 0.9988304897349445}",25,0,-129.37151496332942,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.3, 'e': 0.9987706013787226}",30,0,-152.8509082476112,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
17,False,"{'a': 0.3, 'e': 0.9987076502237127}",20,0,-44.38287285231283,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0.3, 'e': 0.9986414800495711}",20,0,-131.5247360373415,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
