year,round,player,prev rd score,three rd av,five rd av,season av,prev against opp,prev at venue,three rd av team for,three rd av opp against,last team opp,last team venue,score
2014,1,Jobe Watson,,,,,,,,,,,153
2014,1,Dyson Heppell,,,,,,,,,,,150
2014,1,Nathan Jones,,,,,,,,,,,147
2014,1,Gary Ablett,,,,,,,,,,,141
2014,1,Clinton Jones,,,,,,,,,,,141
2014,1,Mark LeCras,,,,,,,,,,,139
2014,1,Ollie Wines,,,,,,,,,,,136
2014,1,Michael Barlow,,,,,,,,,,,134
2014,1,Brett Deledio,,,,,,,,,,,132
2014,1,Joel Selwood,,,,,,,,,,,132
2014,1,Stephen Coniglio,,,,,,,,,,,130
2014,1,Kane Cornes,,,,,,,,,,,128
2014,1,Trent Cotchin,,,,,,,,,,,127
2014,1,Cale Hooker,,,,,,,,,,,125
2014,1,Dion Prestia,,,,,,,,,,,125
2014,1,Nick Riewoldt,,,,,,,,,,,125
2014,1,Luke Ball,,,,,,,,,,,124
2014,1,Adam Treloar,,,,,,,,,,,124
2014,1,Matt Rosa,,,,,,,,,,,122
2014,1,Jack Macrae,,,,,,,,,,,122
2014,1,Scott Pendlebury,,,,,,,,,,,122
2014,1,Dayne Beams,,,,,,,,,,,122
2014,1,Steve Johnson,,,,,,,,,,,121
2014,1,Brendon Goddard,,,,,,,,,,,119
2014,1,Matthew Boyd,,,,,,,,,,,118
2014,1,Bernie Vince,,,,,,,,,,,118
2014,1,Dom Tyson,,,,,,,,,,,116
2014,1,David Swallow,,,,,,,,,,,114
2014,1,Scott Selwood,,,,,,,,,,,113
2014,1,Justin Westhoff,,,,,,,,,,,113
2014,1,Jaeger O'Meara,,,,,,,,,,,112
2014,1,Jackson Merrett,,,,,,,,,,,111
2014,1,Callan Ward,,,,,,,,,,,111
2014,1,Jordan Lewis,,,,,,,,,,,111
2014,1,Aaron Sandilands,,,,,,,,,,,110
2014,1,Shane Mumford,,,,,,,,,,,110
2014,1,Luke Breust,,,,,,,,,,,110
2014,1,Rory Sloane,,,,,,,,,,,109
2014,1,Liam Shiels,,,,,,,,,,,109
2014,1,Matt Priddis,,,,,,,,,,,109
2014,1,Luke Dahlhaus,,,,,,,,,,,108
2014,1,Jake Spencer,,,,,,,,,,,108
2014,1,Sam Jacobs,,,,,,,,,,,108
2014,1,Matthew Wright,,,,,,,,,,,108
2014,1,Matthew Thomas,,,,,,,,,,,108
2014,1,Corey Enright,,,,,,,,,,,108
2014,1,Dean Cox,,,,,,,,,,,108
2014,1,Ben Howlett,,,,,,,,,,,107
2014,1,Paul Chapman,,,,,,,,,,,106
2014,1,Isaac Smith,,,,,,,,,,,106
2014,1,Luke Dunstan,,,,,,,,,,,106
2014,1,Tendai Mzungu,,,,,,,,,,,105
2014,1,Tom Langdon,,,,,,,,,,,105
2014,1,Farren Ray,,,,,,,,,,,105
2014,1,Andrew Gaff,,,,,,,,,,,105
2014,1,Andrew Mackie,,,,,,,,,,,104
2014,1,Mathew Stokes,,,,,,,,,,,104
2014,1,Grant Birchall,,,,,,,,,,,103
2014,1,David Myers,,,,,,,,,,,103
2014,1,Lachie Hunter,,,,,,,,,,,103
2014,1,James Kelly,,,,,,,,,,,100
2014,1,Sean Dempster,,,,,,,,,,,100
2014,1,Chad Wingard,,,,,,,,,,,100
2014,1,Jarrod Harbrow,,,,,,,,,,,100
2014,1,David Ellard,,,,,,,,,,,100
2014,1,Dustin Martin,,,,,,,,,,,100
2014,1,David Zaharakis,,,,,,,,,,,100
2014,1,Brad Ebert,,,,,,,,,,,100
2014,1,Jimmy Bartel,,,,,,,,,,,99
2014,1,David Mundy,,,,,,,,,,,99
2014,1,Jarryd Roughead,,,,,,,,,,,98
2014,1,Danyle Pearce,,,,,,,,,,,98
2014,1,James Gwilt,,,,,,,,,,,98
2014,1,Dane Swan,,,,,,,,,,,97
2014,1,Aaron Mullett,,,,,,,,,,,97
2014,1,Reece Conca,,,,,,,,,,,97
2014,1,Michael Hibberd,,,,,,,,,,,96
2014,1,Shaun Grigg,,,,,,,,,,,96
2014,1,Brent Harvey,,,,,,,,,,,96
2014,1,Adam Cooney,,,,,,,,,,,96
2014,1,Tom Rockliff,,,,,,,,,,,96
2014,1,Jack Darling,,,,,,,,,,,96
2014,1,Matt de Boer,,,,,,,,,,,95
2014,1,Josh Hunt,,,,,,,,,,,95
2014,1,Ryan Lester,,,,,,,,,,,94
2014,1,Robert Murphy,,,,,,,,,,,94
2014,1,Michael Rischitelli,,,,,,,,,,,94
2014,1,Ed Curnow,,,,,,,,,,,94
2014,1,Greg Broughton,,,,,,,,,,,94
2014,1,Rohan Bail,,,,,,,,,,,94
2014,1,Luke Hodge,,,,,,,,,,,93
2014,1,Josh Green,,,,,,,,,,,93
2014,1,Dayne Zorko,,,,,,,,,,,93
2014,1,Bryce Gibbs,,,,,,,,,,,93
2014,1,Tom Mitchell,,,,,,,,,,,93
2014,1,Jack Gunston,,,,,,,,,,,92
2014,1,Eric Mackenzie,,,,,,,,,,,92
2014,1,Angus Monfries,,,,,,,,,,,92
2014,1,Rhyce Shaw,,,,,,,,,,,90
2014,1,Luke Parker,,,,,,,,,,,90
2014,1,Brent Macaffer,,,,,,,,,,,90
2014,1,Josh Saunders,,,,,,,,,,,90
2014,1,Jay Schulz,,,,,,,,,,,90
2014,1,Matthew Jaensch,,,,,,,,,,,89
2014,1,Ben McEvoy,,,,,,,,,,,89
2014,1,Marc Murphy,,,,,,,,,,,89
2014,1,Jack Redden,,,,,,,,,,,88
2014,1,Koby Stevens,,,,,,,,,,,88
2014,1,Sam Kerridge,,,,,,,,,,,88
2014,1,Brodie Grundy,,,,,,,,,,,88
2014,1,Shaun Burgoyne,,,,,,,,,,,88
2014,1,Brent Stanton,,,,,,,,,,,87
2014,1,Michael Johnson,,,,,,,,,,,87
2014,1,Lindsay Thomas,,,,,,,,,,,87
2014,1,Michael Hurley,,,,,,,,,,,86
2014,1,Jack Watts,,,,,,,,,,,86
2014,1,Kyle Hardingham,,,,,,,,,,,86
2014,1,Mark Baguley,,,,,,,,,,,85
2014,1,Daniel Cross,,,,,,,,,,,85
2014,1,Jack Trengove,,,,,,,,,,,85
2014,1,Matthew Suckling,,,,,,,,,,,85
2014,1,Josh Caddy,,,,,,,,,,,85
2014,1,Jared Polec,,,,,,,,,,,85
2014,1,Toby Greene,,,,,,,,,,,85
2014,1,Mitch Duncan,,,,,,,,,,,85
2014,1,Tom Hickey,,,,,,,,,,,85
2014,1,David Hale,,,,,,,,,,,85
2014,1,Heath Shaw,,,,,,,,,,,84
2014,1,Matthew Pavlich,,,,,,,,,,,84
2014,1,Kade Simpson,,,,,,,,,,,84
2014,1,Heritier Lumumba,,,,,,,,,,,84
2014,1,Jonathan Brown,,,,,,,,,,,84
2014,1,Steele Sidebottom,,,,,,,,,,,84
2014,1,Mike Pyke,,,,,,,,,,,84
2014,1,Elliot Yeo,,,,,,,,,,,84
2014,1,Jack Newnes,,,,,,,,,,,84
2014,1,Tom Liberatore,,,,,,,,,,,84
2014,1,Stewart Crameri,,,,,,,,,,,83
2014,1,Matthew Lobbe,,,,,,,,,,,83
