Year,Round,Team,Player,Score,Opposition,Venue
2014,1,ESS,Jobe Watson,153,NM,Etihad
2014,1,ESS,Dyson Heppell,150,NM,Etihad
2014,1,MEL,Nathan Jones,147,STK,Etihad
2014,1,GCS,Gary Ablett,141,RIC,Metricon
2014,1,STK,Clinton Jones,141,MEL,Etihad
2014,1,WCE,Mark LeCras,139,WB,Domain
2014,1,PA,Ollie Wines,136,CAR,Etihad
2014,1,FRE,Michael Barlow,134,COL,Etihad
2014,1,RIC,Brett Deledio,132,GCS,Metricon
2014,1,GEE,Joel Selwood,132,ADE,Simonds
2014,1,GWS,Stephen Coniglio,130,SYD,Spotless
2014,1,PA,Kane Cornes,128,CAR,Etihad
2014,1,RIC,Trent Cotchin,127,GCS,Metricon
2014,1,ESS,Cale Hooker,125,NM,Etihad
2014,1,GCS,Dion Prestia,125,RIC,Metricon
2014,1,STK,Nick Riewoldt,125,MEL,Etihad
2014,1,COL,Luke Ball,124,FRE,Etihad
2014,1,GWS,Adam Treloar,124,SYD,Spotless
2014,1,WCE,Matt Rosa,122,WB,Domain
2014,1,WB,Jack Macrae,122,WCE,Domain
2014,1,COL,Scott Pendlebury,122,FRE,Etihad
2014,1,COL,Dayne Beams,122,FRE,Etihad
2014,1,GEE,Steve Johnson,121,ADE,Simonds
2014,1,ESS,Brendon Goddard,119,NM,Etihad
2014,1,WB,Matthew Boyd,118,WCE,Domain
2014,1,MEL,Bernie Vince,118,STK,Etihad
2014,1,MEL,Dom Tyson,116,STK,Etihad
2014,1,GCS,David Swallow,114,RIC,Metricon
2014,1,WCE,Scott Selwood,113,WB,Domain
2014,1,PA,Justin Westhoff,113,CAR,Etihad
2014,1,GCS,Jaeger O'Meara,112,RIC,Metricon
2014,1,ESS,Jackson Merrett,111,NM,Etihad
2014,1,GWS,Callan Ward,111,SYD,Spotless
2014,1,HAW,Jordan Lewis,111,BL,Launceston
2014,1,FRE,Aaron Sandilands,110,COL,Etihad
2014,1,GWS,Shane Mumford,110,SYD,Spotless
2014,1,HAW,Luke Breust,110,BL,Launceston
2014,1,ADE,Rory Sloane,109,GEE,Simonds
2014,1,HAW,Liam Shiels,109,BL,Launceston
